GEM location ID,bus_id
L100000823179,gen0
L100000823181,gen0
L100000823182,gen0
L100000823183,gen0
L100000823184,gen0
L100000823185,gen0
L100000823186,gen0
L100000823188,gen1
L100000823189,gen1
L100000823190,gen1
L100000823192,gen4
L100000823321,gen0
L100000823193,gen1
L100000823194,gen4
L100000823195,gen4
L100000823196,gen4
L100000823197,gen4
L100000823198,gen0
L100000823199,gen0
L100000823200,gen2
L100000823201,gen2
L100000823202,gen4
L100000823204,gen4
L100000823205,gen0
L100000823206,gen1
L100000823207,gen0
L100000823209,gen1
L100000823210,gen3
L100000823208,gen0
L100001003899,gen1
L100000823211,gen4
L100000823212,gen4
L100000823213,gen4
L100000823214,gen2
L100000823215,gen2
L100000823216,gen2
L100000823217,gen2
L100000823219,gen2
L100000823220,gen3
L100000823221,gen3
L100000823222,gen3
L100000823223,gen3
L100000823224,gen3
L100000823225,gen4
L100000823226,gen0
L100000823227,gen0
L100000823228,gen0
L100000823229,gen0
L100000823231,gen0
L100000823232,gen0
L100000823233,gen1
L100000823235,gen0
L100000823236,gen0
L100000823238,gen1
L100000823239,gen1
L100000823240,gen1
L100000823241,gen1
L100000823242,gen1
L100000823243,gen0
L100000823244,gen0
L100000823246,gen1
L100000823245,gen1
L100000823247,gen4
L100000823248,gen0
L100000823249,gen0
L100000823250,gen4
L100000823254,gen4
L100000823255,gen1
L100000823256,gen3
L100000823257,gen1
L100000823258,gen1
L100000823259,gen1
L100000823262,gen1
L100000823263,gen1
L100000823264,gen1
L100000823266,gen3
L100000823267,gen3
L100000823268,gen3
L100000823269,gen3
L100000823270,gen3
L100000823271,gen4
L100000823272,gen2
L100000823273,gen2
L100000823274,gen4
L100000823275,gen4
L100000823276,gen1
L100000823277,gen1
L100000823281,gen4
L100000823282,gen4
L100000823283,gen4
L100000823284,gen0
L100000823285,gen0
L100000823286,gen0
L100000823287,gen4
L100000823288,gen0
L100000823289,gen0
L100000823290,gen0
L100001003900,gen2
L100000823292,gen4
L100000823293,gen4
L100000823295,gen0
L100000823296,gen4
L100000823298,gen1
L100000823299,gen1
L100000823300,gen1
L100000823301,gen1
L100000823302,gen1
L100000823303,gen1
L100000823304,gen1
L100000823305,gen1
L100000823306,gen1
L100000823307,gen1
L100000823308,gen1
L100000823309,gen1
L100000823313,gen0
L100000823314,gen0
L100000823315,gen0
L100000823317,gen4
L100000823318,gen0
L100000823319,gen4
L100000823320,gen0
L100000823067,gen2
L100000823322,gen2
L100000823323,gen4
L100000823325,gen4
L100000823326,gen0
L100000823328,gen4
L100000823329,gen1
L100000823330,gen1
L100000823331,gen4
L100000823333,gen4
L100000823334,gen4
L100000823335,gen0
L100000823337,gen3
L100000823338,gen3
L100000823115,gen1
L100000823339,gen1
L100001003901,gen2
L100000823340,gen0
L100000823341,gen0
L100000823342,gen0
L100000823343,gen0
L100000823344,gen0
L100000823345,gen0
L100000823346,gen1
L100000823347,gen1
L100000823348,gen1
L100000823350,gen4
L100000823351,gen1
L100000823352,gen1
L100000823353,gen4
L100000823354,gen0
L100000823355,gen1
L100000823356,gen1
L100000823357,gen4
L100000823358,gen4
L100000823359,gen3
L100000823360,gen3
L100000823361,gen1
